#
# Generated by M. Cushing, Mon May 18 15:56:03 2009
#
# The filter profile are from Tokunaga et al. (2002, PASP, 114, 180)
# and are at 65 K. The atmospheric transmission was computed using
# ATRAN at an airmass of 1.3, with a precipitable water vapor of 1 mm,
# and is meant to match the WFCAM filter system response functions
# given in Hewett et al. (2006, MNRAS, 367, 454).  The transmission
# spectrum was smoothed to R=2000 and resampled to 2 pixels per
# resolution element.  The filter transmission function was then
# resampled onto this wavelength scale.
#
#====================================
#Wavelength (microns)  Transmission
#====================================
            3.8248890         0.872
            3.8258452         0.872
            3.8268016         0.871
            3.8277583         0.870
            3.8287153         0.873
            3.8296725         0.873
            3.8306299         0.869
            3.8315875         0.867
            3.8325454         0.862
            3.8335036         0.852
            3.8344620         0.844
            3.8354206         0.846
            3.8363794         0.849
            3.8373385         0.850
            3.8382979         0.847
            3.8392574         0.846
            3.8402172         0.846
            3.8411773         0.849
            3.8421376         0.850
            3.8430981         0.847
            3.8440589         0.845
            3.8450199         0.843
            3.8459812         0.836
            3.8469427         0.827
            3.8479044         0.830
            3.8488664         0.841
            3.8498286         0.845
            3.8507911         0.843
            3.8517537         0.846
            3.8527167         0.848
            3.8536799         0.847
            3.8546433         0.843
            3.8556069         0.836
            3.8565708         0.832
            3.8575350         0.835
            3.8584994         0.833
            3.8594640         0.831
            3.8604289         0.830
            3.8613940         0.828
            3.8623593         0.820
            3.8633249         0.814
            3.8642907         0.812
            3.8652568         0.808
            3.8662231         0.802
            3.8671897         0.794
            3.8681565         0.785
            3.8691235         0.782
            3.8700908         0.784
            3.8710583         0.780
            3.8720261         0.770
            3.8729941         0.762
            3.8739623         0.759
            3.8749308         0.757
            3.8758996         0.753
            3.8768685         0.748
            3.8778378         0.748
            3.8788072         0.751
            3.8797769         0.748
            3.8807469         0.741
            3.8817171         0.739
            3.8826875         0.740
            3.8836582         0.740
            3.8846291         0.739
            3.8856002         0.738
            3.8865716         0.741
            3.8875433         0.747
            3.8885152         0.747
            3.8894873         0.746
            3.8904597         0.750
            3.8914323         0.755
            3.8924051         0.759
            3.8933782         0.764
            3.8943516         0.771
            3.8953252         0.779
            3.8962990         0.790
            3.8972731         0.800
            3.8982474         0.811
            3.8992219         0.820
            3.9001968         0.829
            3.9011718         0.832
            3.9021471         0.829
            3.9031226         0.816
            3.9040984         0.803
            3.9050744         0.799
            3.9060507         0.793
            3.9070272         0.788
            3.9080040         0.786
            3.9089810         0.776
            3.9099582         0.760
            3.9109357         0.755
            3.9119134         0.762
            3.9128914         0.764
            3.9138696         0.765
            3.9148481         0.767
            3.9158268         0.766
            3.9168058         0.762
            3.9177850         0.761
            3.9187644         0.762
            3.9197441         0.762
            3.9207241         0.760
            3.9217042         0.760
            3.9226847         0.761
            3.9236653         0.762
            3.9246463         0.762
            3.9256274         0.761
            3.9266088         0.763
            3.9275905         0.767
            3.9285724         0.765
            3.9295545         0.769
            3.9305369         0.774
            3.9315195         0.773
            3.9325024         0.774
            3.9334855         0.778
            3.9344689         0.783
            3.9354525         0.783
            3.9364364         0.786
            3.9374205         0.787
            3.9384049         0.785
            3.9393895         0.785
            3.9403743         0.784
            3.9413594         0.783
            3.9423447         0.785
            3.9433303         0.790
            3.9443162         0.794
            3.9453022         0.797
            3.9462886         0.793
            3.9472751         0.792
