PLATE   MJD FIBERID             Z       COMMENT
  394 51876     399      1.945100     S/N=23.94
  394 51876     403      2.236100     S/N=30.13
  394 51876     475      1.955200     S/N=29.37
  394 51876     502     0.6462000     S/N=27.84
  394 51876     514      2.520400     S/N=18.64
  394 51876     533      2.272200     S/N=31.52
  396 51816     139      1.589900     S/N=21.72
  396 51816     276     0.2942000     S/N=41.33
  396 51816     359     0.7777000     S/N=25.70
  396 51816     454      4.448000     S/N= 5.34
  397 51794      38    0.04560000     S/N=37.21
  397 51794     267      1.373000     S/N=26.23
  397 51794     296      1.673100 S/N=21.84 BAL
  397 51794     382      3.715500     S/N= 4.31
  397 51794     512     0.2385000     S/N=28.83
  397 51794     514      1.686900     S/N=23.02
  398 51789      10    0.05440000     S/N=39.13
  398 51789     211      2.190000     S/N=18.41
  398 51789     261    0.03380000     S/N=34.42
  398 51789     455      2.655900     S/N=12.30
  398 51789     548     0.6133000     S/N=22.99
  398 51789     637      4.085100     S/N= 2.59
  399 51817      72      2.074300 S/N=20.62 BAL
  399 51817     142      2.278400     S/N=16.39
  399 51817     150      1.076600     S/N=37.67
  399 51817     245      3.000000     S/N=22.69
  399 51817     375      3.839900     S/N=14.23
  400 51820     137      1.753500     S/N=20.91
  400 51820     276      1.328500     S/N=32.40
  400 51820     390     0.6554000     S/N=25.54
  400 51820     484      3.182900     S/N=10.73
  400 51820     512     0.3989000     S/N=32.98
  400 51820     631      2.748900     S/N=10.09
  402 51793     109      1.996300     S/N=22.55
  402 51793     234      2.167700     S/N=21.78
  402 51793     260      1.071000     S/N=26.77
  402 51793     418    0.08480000     S/N=31.28
  402 51793     429      3.300000     S/N= 1.63
  402 51793     438      1.707100     S/N=23.70
  402 51793     479     0.5523000     S/N=42.10
  402 51793     484      2.979400     S/N= 9.74
  402 51793     505      3.703300 S/N=11.08 BAL
  402 51793     587     0.5889000     S/N=24.21
  402 51793     634     0.8371000     S/N=24.87
  403 51871     108      3.291900     S/N=11.35
  403 51871     152      3.290800     S/N=10.55
  403 51871     203      3.562000     S/N=15.03
  403 51871     308      4.189000     S/N= 4.03
  403 51871     529     0.2175000     S/N=24.71
  403 51871     550     0.1626000     S/N=45.09
  404 51812     141    0.04180000     S/N=50.14
  404 51812     639      1.890900     S/N=34.09
  405 51816      95      1.493200     S/N=22.41
  405 51816     263      4.750000     S/N= 1.38
  405 51816     314      2.855300     S/N=30.16
  405 51816     458     0.1821000     S/N=28.14
  405 51816     604      2.789000     S/N= 8.11
  406 51817     576      2.970400     S/N=13.33
  406 51817      35      2.715700     S/N=17.80
  406 51817     101      3.610000     S/N= 6.41
  406 51817     194      2.647900     S/N=12.45
  406 51817     215      1.538800     S/N=27.37
  407 51820     105      2.500600     S/N=16.21
  407 51820     220      3.172900     S/N= 6.54
  407 51820     304      2.357200     S/N=11.86
  407 51820     409      1.459000     S/N=23.06
  407 51820     524      1.263000     S/N=36.27
  407 51820     600      2.523300     S/N=26.35
  408 51821     134      3.081400     S/N=10.76
  408 51821     179      3.730000     S/N= 3.60
  408 51821     449      1.309600     S/N=22.84
  408 51821     611     0.5692000     S/N=40.47
  409 51871      71      3.456800     S/N= 3.04
  409 51871     167      2.114600     S/N=17.59
  409 51871     213     0.4681000     S/N=34.32
  409 51871     282      3.980000     S/N= 7.70
  409 51871     412      3.007400     S/N=12.79
  409 51871     599     0.8097000     S/N=29.91
  410 51816     142      2.247900     S/N=26.48
  410 51816     212      2.970300     S/N= 7.24
  410 51816     383      4.180000 S/N= 1.48 BAL
  410 51816     466      3.970000     S/N= 6.25
  410 51816     523     0.1766000     S/N=27.04
  411 51817     153      3.292500     S/N=25.71
  411 51817     176      3.230400     S/N=23.84
  411 51817     306      1.998400     S/N=29.96
  411 51817     381     0.5342000     S/N=39.52
  411 51817     399      4.196600     S/N= 1.95
  411 51817     398      3.368800     S/N=19.86
  411 51817     495      1.650000     S/N=23.95
  411 51817     519     0.6386000     S/N=40.26
  411 51817     513    0.04450000     S/N=31.57
  412 51931     133    0.08020000     S/N=52.66
  412 51931     132      2.109000     S/N=24.24
  412 51931     135      2.447200     S/N=17.58
  412 51931     394     0.1074000     S/N=32.62
  412 51931     428     0.6100000     S/N=36.83
  412 51931     448      1.392200     S/N=25.38
  412 51931     445      3.800000     S/N= 4.58
  412 51931     479     0.7689000     S/N=35.99
  413 51929     126      3.144300     S/N= 5.34
  413 51929     171      3.226400     S/N=10.03
  413 51929     387      2.902400     S/N=13.08
  413 51929     598     0.4719000     S/N=29.82
  414 51869       4      2.751000     S/N= 8.44
  414 51869     152      2.323700     S/N=12.55
  414 51869     168      4.186700     S/N= 4.41
  414 51869     358     0.4717000     S/N=36.43
  414 51869     328     0.1851000     S/N=51.02
  414 51869     382     0.2155000     S/N=25.26
  414 51869     479     0.3604000     S/N=33.13
  414 51869     533      1.356900     S/N=23.57
  415 51810       5     0.7514000     S/N=29.04
  415 51810     165      1.493900     S/N=29.19
  415 51810     508     0.3476000     S/N=27.97
  415 51810     547      2.230000     S/N=16.47
  415 51810     621      5.025000     S/N= 0.72
  416 51811     125      1.188800     S/N=39.51
  416 51811     143     0.3764000     S/N=28.50
  416 51811     228      3.049900     S/N=13.17
  416 51811     293     0.7514000     S/N=34.41
  416 51811     432      5.061800     S/N= 0.77
  416 51811     457     0.6336000     S/N=22.81
  416 51811     471      1.876000     S/N=29.09
