# BOSS QSO PCA redshift training sample input file.
# Generated on 20 June 2011 by Adam S. Bolton, Univ. of Utah.
# Based on matching all BOSS spectra against the list of
# re-observed SDSS-1 redshifted quasars described at:
#   https://trac.sdss3.org/wiki/BOSS/obstemplates
# and verifying data quality of the input spectra.
#
# Used to generate spEigenQSO-55732.fits for inclusion in
# IDLSPEC2D redshift pipeline analysis, with the IDL command
#  pca_qso, inputfile=thisfile, wavemin=450., wavemax=10400., niter=10
#
# plate  mjd   fiberid   z
#-------------------------
# 4223  55451   508   3.062800 # Missing data 4000-5000
 4218  55479   888   3.066100
 4213  55449   182   3.066300
 4212  55447   586   3.066400
 4237  55478   844   3.072600
 3651  55247   482   3.075200
 4218  55479   757   3.078000
 4206  55471   398   3.086100
 4214  55451   434   3.096900
 4234  55478   582   3.099800
 4218  55479   582   3.106400
 3745  55234   624   3.110000
 4219  55480   293   3.111900
 4207  55475   642   3.114800
 4211  55446   680   3.121200
 4200  55499   528   3.122900
 4205  55454   926   3.126300
 4224  55481   785   3.131300
 4198  55480   852   3.134000
 4201  55443   418   3.140000
 4201  55443   724   3.144600
 4206  55471   380   3.144700
 4218  55479   327   3.145400
 4215  55471   982   3.147700
 4217  55478    96   3.152000
 4218  55479   228   3.154800
 3606  55182    33   3.159000
 4199  55481   978   3.161000
 3647  55476   484   3.164400
 3615  55179   252   3.165000
 4232  55447   376   3.172000
 4215  55471   223   3.172500
 4207  55475   173   3.177900
 4229  55501   994   3.182700
 4214  55451   670   3.190400
 4203  55447   747   3.193700
 4235  55451   942   3.194900
 3589  55186   260   3.204700
 4214  55451   405   3.207700
 4210  55444   331   3.207700
 4228  55484     4   3.210000
 4231  55444   466   3.211100
 4218  55479   680   3.221000
 3587  55182   734   3.225700
 4210  55444   594   3.225900
 4237  55478   272   3.229000
 4221  55443   556   3.231500
 4223  55451   616   3.233700
 4213  55449    82   3.236700
 4194  55450   940   3.244900
 3609  55201   462   3.245600
 4216  55477   474   3.252000
 4200  55499   332   3.260200
 4212  55447   336   3.260200
 4227  55481   648   3.265000
 3606  55182   272   3.267000
 4204  55470   528   3.267700
 4205  55454   354   3.269400
 4234  55478   614   3.275000
 3736  55214   291   3.277000
 4234  55478   392   3.280700
 4233  55449    71   3.284800
 4221  55443   780   3.288400
 4193  55476   974   3.297500
 4207  55475   984   3.301800
 4232  55447   774   3.303500
 4207  55475   604   3.305300
 3587  55182   890   3.306900
 4206  55471   620   3.311400
 4193  55476    52   3.315300
 4215  55471   838   3.318700
 4211  55446   518   3.339700
 4201  55443   234   3.341000
 4192  55469   184   3.344400
 4218  55479   972   3.347400
 3606  55182   458   3.347900
 4209  55478   958   3.353800
 4239  55458   876   3.360200
 4206  55471   822   3.360600
 4226  55475   230   3.373000
 4206  55471   865   3.375300
 4205  55454   448   3.376500
 4224  55481   299   3.380400
 4199  55481   346   3.380700
 4215  55471   176   3.391300
 4211  55446   756   3.392300
 4216  55477   452   3.392600
 3615  55208    14   3.401000
 4234  55478     6   3.401200
 4224  55481   732   3.412700
 3587  55182   132   3.429900
 4215  55471   356   3.433500
 3590  55201   220   3.443000
 3650  55244   572   3.444700
 4203  55447   986   3.466800
 4222  55444   242   3.470400
 4214  55451   306   3.489400
 4204  55470   696   3.489800
 3615  55445   898   3.491300
 4220  55447   200   3.496500
 4234  55478   814   3.499300
 4220  55447   276   3.504100
 4230  55483   662   3.509300
 4219  55480   227   3.511100
 4211  55446   538   3.525700
 3615  55445     2   3.526600
 4214  55451    34   3.528700
 4238  55455   737   3.529900
 4215  55471   268   3.530200
 4201  55443   730   3.534800
 4233  55449   178   3.564400
 4216  55477   217   3.577900
 4237  55478   842   3.578300
 4208  55476   288   3.584000
 4193  55476   336   3.585200
 4211  55446   426   3.587600
 4227  55481   364   3.590300
 4218  55479   334   3.603000
# 3650  55244   492   3.613400 # Weird negative glitch around 4000
 4233  55449   860   3.613800
 4230  55483   320   3.616900
 3650  55244   736   3.623800
 4234  55478   228   3.624400
 3615  55179   436   3.627300
 3590  55201   434   3.632300
 4224  55481   215   3.634600
 4196  55478   594   3.638400
 4218  55479   124   3.644700
 4237  55478   207   3.649100
 4213  55449   214   3.650200
 4208  55476   748   3.655700
 4211  55446   354   3.658000
 4207  55475   516   3.664500
 4198  55480   394   3.666200
 4211  55446   778   3.669300
 4195  55452   256   3.678600
 4208  55476   578   3.685400
 4218  55479   852   3.686600
 4193  55476   406   3.699100
 3606  55182   640   3.703200
 4226  55475   776   3.708100
 4207  55475   558   3.714300
 4224  55481   236   3.725600
 4240  55455   434   3.740000
 4229  55501   238   3.744600
 4228  55484   562   3.745600
 4216  55477   742   3.759200
 4199  55481   847   3.768500
 4206  55471   976   3.771300
 4197  55479   732   3.776800
 4236  55479    82   3.784700
 4207  55475   822   3.788200
 4209  55478   272   3.790600
 4203  55447   438   3.800800
 3745  55234   285   3.806800
 4213  55449   215   3.817600
 4202  55445   176   3.822500
 3615  55445    80   3.824600
 4229  55501   552   3.834100
 4235  55451   670   3.845800
 4203  55447   590   3.874700
 4214  55451    86   3.874900
 4213  55449    60   3.875800
 4216  55477   778   3.880600
 4210  55444   900   3.881600
 4204  55470   560   3.892200
 4234  55478   124   3.937000
 3615  55179   482   3.940800
 4214  55451   510   3.953600
 4219  55480   938   3.960000
 4208  55476   114   3.974800
 4206  55471   449   3.989300
 4199  55481    84   3.993000
 4229  55501   454   4.026700
 4194  55450   770   4.034900
 3587  55182   258   4.039500
 4192  55469   114   4.072100
 4229  55501   337   4.082800
 4207  55475   583   4.087300
 4227  55481    16   4.101100
 4198  55480   306   4.115000
 4213  55449   710   4.116900
 4199  55481   420   4.119800
 4195  55452   545   4.127100
 4225  55455   878   4.137600
 4235  55451   498   4.146300
 3735  55209   532   4.154400
 3590  55201   338   4.156700
 4229  55501   912   4.174700
 3606  55182   276   4.193600
 4193  55476   636   4.302800
 4219  55480   333   4.327500
 3590  55201   168   4.331700
 4215  55471   919   4.362300
 4194  55450   508   4.386500
 3735  55209   834   4.449200
 4212  55447    90   4.492800
 4203  55447   522   4.660900
 4201  55443   438   4.674000
 4201  55443   813   4.688600
 4235  55451   152   4.733100
 3588  55184   540   4.772700
 4217  55478   800   4.783400
 4198  55480   802   4.789500
 4202  55445   316   4.886400
 4200  55499   260   4.953300
 4224  55481   248   5.087900
