PLATE  MJD   RA    DEC   SN2_G1 SN2_I1 SN2_G2 SN2_I2 Ngal Nqso Nsta Nunk Nsky
  394  51812  12.8  -0.0   39.1   28.4   40.7   31.2  509   42   47   10   32
  394  51876  12.8  -0.0   25.6   19.1   27.2   22.5  513   43   44    8   32
  394  51901  12.8  -0.0   42.7   33.8   42.7   36.4  512   42   47    7   32
  394  51902  12.8  -0.0   63.8   48.1   65.1   54.6  511   43   47    7   32
  395  51783  14.6   0.1   21.2   18.6   21.1   23.6  520   37   41    7   35
  396  51816  16.5   0.1   30.4   30.7   24.2   26.0  525   38   42    3   32
  397  51794  18.3  -0.0   28.7   31.3   27.0   35.4  522   41   44    1   32
  398  51789  19.8   0.0   25.9   30.3   33.8   28.3  525   38   40    4   33
  399  51817  21.7   0.1   28.5   32.8   25.8   32.6  527   32   45    4   32
  400  51820  23.6   0.1   24.7   26.1   23.3   22.7  512   48   45    3   32
  401  51788  25.8  -0.1   23.3   20.0   24.9   23.8  501   45   51   11   32
  402  51793  28.0   0.0   27.9   29.3   27.7   30.7  530   38   36    4   32
  403  51871  29.8  -0.0   24.8   21.7   26.2   24.2  503   46   44   13   34
  404  51812  31.6  -0.0   25.5   24.5   26.1   20.9  526   27   50    4   33
  404  51877  31.6  -0.0   25.0   26.5   20.5   18.0  524   28   52    3   33
  405  51816  33.7  -0.1   20.0   24.3   23.2   22.6  463   51   76   18   32
  406  51817  35.9   0.1   30.7   32.5   30.2   29.4  436   73   91    7   33
  406  51869  35.9   0.1   43.6   33.6   39.1   34.0  433   72   91   11   33
  406  51876  35.9   0.1   30.2   31.5   27.9   29.9  436   72   90    9   33
  406  51900  35.9   0.1   34.5   27.2   30.8   26.6  437   71   89   10   33
  407  51820  37.8  -0.1   30.2   26.9   26.1   24.7  438   62   95   12   33
  408  51821  39.8   0.1   25.8   24.0   25.6   24.8  376  123   85   24   32
  409  51871  42.0   0.0   35.7   25.5   27.2   25.9  471   55   77    5   32
  410  51816  43.9  -0.0   20.2   21.0   20.9   20.6  395   98   98   17   32
  410  51877  43.9  -0.0   26.0   22.7   31.0   24.4  408  101   91    8   32
  411  51817  45.9  -0.1   28.8   29.6   27.3   24.7  524   43   39    0   34
  411  51873  45.9  -0.1   25.7   25.1   26.1   20.8  522   43   39    2   34
  412  51871  47.7   0.1   20.7   21.2   19.1   17.3  508   41   49    9   33
  413  51821  49.7   0.0   24.2   23.0   19.7   21.4  451   56   94    7   32
  414  51869  51.6  -0.0    6.1    6.1    5.4    4.2  433   54   70   50   33
  414  51876  51.6  -0.0   10.2    5.5    1.3    2.3  407   34   48  118   33
  414  51885  51.6  -0.0    7.0   10.0    6.7   15.0  412   46   61   88   33
  414  51898  51.6  -0.0   29.1   18.0   18.2   25.9  471   58   69    9   33
  415  51810  53.5   0.1   26.1   32.3   28.3   30.2  461   57   77   13   32
  415  51879  53.5   0.1   25.3   28.1   24.4   21.8  463   57   76   12   32
  416  51811  55.4   0.1   28.8   30.3   26.1   28.0  435   91   72    9   33
  416  51885  55.4   0.1    8.0   23.4    8.1   19.3  392   52   59  104   33
  417  51821   7.5  15.0   25.8   30.6   26.8   28.0  311   52   52   11  214
  418  51817   9.5  15.0   27.9   40.3   32.3   33.2  431   95   72   10   32
  418  51884   9.5  15.0    9.4   20.3   12.4   16.5  400   49   60   99   32
  419  51812  11.2  14.9   26.6   27.9   29.6   24.3  415   95   84   14   32
  419  51868  11.2  14.9   39.0   28.9   37.0   25.1  417   95   83   13   32
  419  51879  11.2  14.9   39.5   32.0   41.1   29.4  416   98   83   11   32
  420  51871   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  421  51821  15.2  14.7   28.7   29.8   26.0   28.1  512   56   35    5   32
  422  51811  17.3  14.6   27.9   24.3   27.9   27.0  533   34   31   10   32
  422  51878  17.3  14.6   30.2   23.7   30.0   24.4  532   34   38    4   32
  423  51821  19.0  14.5   29.1   28.2   24.9   24.6  522   45   38    3   32
  425  51884  22.9  14.3   14.7   22.4   15.7   27.2  389   70   70   79   32
  425  51898  22.9  14.3   30.9   23.3   26.0   27.4  403  115   80   10   32
  426  51879  24.7  14.1    5.3    4.4    5.3    4.3  381   74   78   75   32
  426  51882  24.7  14.1   28.8   18.1   39.5   14.1  267  152   34  155   32
  427  51899  30.6  13.6    9.4    5.1    9.2    6.3  364   72   85   85   34
  427  51900   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  428  51883  32.8  13.3   21.7   25.9   25.7   25.8  443   42  111   12   32
  429  51820  26.7  14.0   58.7   52.9   51.0   48.5  524   43   38    3   32
  430  51877  28.6  13.8   24.0   24.8   21.8   20.1  515   47   38    8   32
  431  51877 113.5  37.8   30.3   30.6   34.4   29.5  355   79  159   15   32
  432  51884   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  433  51873 116.7  38.2   39.2   37.1   43.2   26.5  389   61  148    9   33
  434  51885   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  435  51879 118.8  40.3   15.2   14.3   19.1   13.1  345  107  139   17   32
  435  51882 118.8  40.3   27.4   23.7   46.8   32.5  348  112  139    9   32
  436  51883 119.1  44.9   33.2   34.2   35.8   27.5  476   44   84    4   32
  437  51869 120.4  42.7   28.2   28.3   32.4   29.1  362   94  138   14   32
  437  51876   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  438  51884 121.3  47.1   36.8   31.2   40.4   26.8  477   53   71    7   32
  439  51877 122.6  44.7   29.8   28.9   32.2   27.3  398   57  148    5   32
  440  51885 123.3  49.1   41.2   30.3   38.1   35.7  504   46   51    7   32
  441  51868 124.9  46.8   23.1   26.1   29.8   23.1  455   51   94    8   32
  442  51882 125.7  50.9   22.0   19.8   19.4   16.9  510   50   40    8   32
  443  51873   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  444  51883 128.0  52.7   30.6   30.7   27.5   24.2  491   65   44    8   32
  445  51873 129.5  50.5   26.2   30.4   33.0   26.5  515   51   36    6   32
  446  51899 130.6  54.5   33.2   24.9   36.2   25.0  511   43   43   11   32
  447  51877 132.0  52.1   35.4   28.7   32.9   25.6  506   60   37    5   32
  448  51900 133.2  56.2   37.6   32.6   38.7   35.9  509   57   37    5   32
  449  51900 134.5  53.9   34.2   30.0   30.0   25.7  515   47   37    8   33
  450  51907 137.3  55.3   26.9   24.2   25.4   21.6  514   50   35    9   32
  450  51908 137.3  55.3   56.0   24.2   50.4   21.6    0    0    0    0    0
  451  51902 140.6  56.6   15.2   11.0   14.0   10.0  437   75   79   17   32
  452  51911   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  453  51911   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  454  51902  36.9  -8.6    4.5    3.9    4.1    3.8  428   65   67   48   32
  455  51909  39.1  -8.3   26.4   28.8   28.1   26.6    0    0    0    0    0
  456  51910   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  457  51901  43.8  -7.9   26.0   23.8   22.1   23.7  410  107   72   18   33
  461  51910  53.0  -6.8   22.4   23.4   20.8   24.2    0    0    0    0    0
  462  51909  55.2  -6.6   28.1   24.7   25.4   27.9    0    0    0    0    0
  463  51908  57.5  -6.1   25.8   20.0   21.1   22.7    0    0    0    0    0
  464  51902  59.7  -5.7   25.8   19.2   27.9   26.1  500   63   37    8   32
  465  51909  62.0  -5.6   20.5   17.1   23.2   22.7    0    0    0    0    0
  465  51910  62.0  -5.6   34.1   24.6   37.3   35.5    0    0    0    0    0
  467  51901   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
  481  51908 148.1   1.6   36.5   25.6   38.2   26.3    0    0    0    0    0
  483  51902 134.4  57.0   40.9   26.7   36.7   21.9  377  103  112   16   32
  484  51907 138.0  58.4   29.7   22.9   26.9   18.2  410  104   84   10   32
  485  51909 141.4  60.0   25.3   31.7   22.3   20.2    0    0    0    0    0
  486  51910   0.0   0.0    0.0    0.0    0.0    0.0    0    0    0    0    0
